2025-05-30 11:55:59,737 - INFO - MainProcess - Main process started. Server listening on 0.0.0.0:8889
2025-05-30 11:55:59,741 - INFO - MainProcess - Submitted 1 worker processes to the pool.
2025-05-30 11:55:59,754 - INFO - ForkProcess-1 - Worker process 13230 started and is ready to accept connections.
2025-05-30 11:58:02,179 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33422)
2025-05-30 11:58:04,488 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33422)
2025-05-30 11:58:04,488 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33434)
2025-05-30 11:58:06,818 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33434)
2025-05-30 11:58:06,818 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33446)
2025-05-30 11:58:09,051 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33446)
2025-05-30 11:58:09,052 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33458)
2025-05-30 11:58:11,424 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33458)
2025-05-30 11:58:11,425 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33460)
2025-05-30 11:58:13,741 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33460)
2025-05-30 11:58:13,741 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33466)
2025-05-30 11:58:15,880 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33466)
2025-05-30 11:58:15,881 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33478)
2025-05-30 11:58:18,165 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33478)
2025-05-30 11:58:18,166 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33486)
2025-05-30 11:58:20,477 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33486)
2025-05-30 11:58:20,477 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33488)
2025-05-30 11:58:22,701 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33488)
2025-05-30 11:58:22,702 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33502)
2025-05-30 11:58:25,098 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33502)
2025-05-30 11:58:25,098 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 33512)
2025-05-30 11:58:27,538 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 33512)
